#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
 2.0184E-01  -3.1334E-02  -2.1075E-01  -3.9864E+02   5.1324E+01   1.3703E+00   5.1343E+01   2.6671E+02   3.9211E-04   1.8137E+02   1.2308E+01   3.7268E-01   5.7239E+01
 1.9262E-01  -3.1586E-02  -2.0153E-01  -4.0143E+02   5.1914E+01   1.0652E+00   5.1925E+01   2.6665E+02   3.9516E-04   1.8413E+02   1.2528E+01   3.0503E-01   5.7680E+01
 1.8367E-01  -3.1777E-02  -1.9257E-01  -4.0485E+02   5.2519E+01   7.4941E-01   5.2524E+01   2.6659E+02   3.9826E-04   1.8702E+02   1.2754E+01   2.3430E-01   5.8129E+01
 1.7498E-01  -3.1911E-02  -1.8388E-01  -4.0982E+02   5.3148E+01   4.0826E-01   5.3150E+01   2.6652E+02   4.0143E-04   1.9005E+02   1.2991E+01   1.5752E-01   5.8590E+01
 1.6657E-01  -3.1986E-02  -1.7547E-01  -4.0666E+02   5.3758E+01   2.7685E-02   5.3758E+01   2.6646E+02   4.0447E-04   1.9314E+02   1.3221E+01   7.1142E-02   5.9032E+01
 1.5843E-01  -3.2001E-02  -1.6733E-01  -3.9963E+02   5.4335E+01  -3.6025E-01   5.4336E+01   2.6639E+02   4.0733E-04   1.9628E+02   1.3440E+01  -2.0229E-02   5.9452E+01
 1.5056E-01  -3.1962E-02  -1.5946E-01  -3.9382E+02   5.4925E+01  -7.5738E-01   5.4930E+01   2.6631E+02   4.1027E-04   1.9956E+02   1.3666E+01  -1.1295E-01   5.9881E+01
 1.4296E-01  -3.1874E-02  -1.5187E-01  -3.8954E+02   5.5536E+01  -1.1849E+00   5.5548E+01   2.6624E+02   4.1325E-04   2.0302E+02   1.3900E+01  -2.1247E-01   6.0320E+01
 1.3564E-01  -3.1735E-02  -1.4454E-01  -3.7603E+02   5.6115E+01  -1.6556E+00   5.6140E+01   2.6616E+02   4.1608E-04   2.0653E+02   1.4125E+01  -3.2244E-01   6.0736E+01
 1.2859E-01  -3.1547E-02  -1.3749E-01  -3.5914E+02   5.6655E+01  -2.1328E+00   5.6695E+01   2.6607E+02   4.1874E-04   2.1009E+02   1.4335E+01  -4.3710E-01   6.1130E+01
 1.2181E-01  -3.1315E-02  -1.3070E-01  -3.4336E+02   5.7203E+01  -2.6249E+00   5.7263E+01   2.6599E+02   4.2148E-04   2.1378E+02   1.4552E+01  -5.5346E-01   6.1535E+01
 1.1529E-01  -3.1042E-02  -1.2418E-01  -3.2980E+02   5.7764E+01  -3.1529E+00   5.7850E+01   2.6590E+02   4.2423E-04   2.1761E+02   1.4775E+01  -6.7760E-01   6.1944E+01
 1.0903E-01  -3.0730E-02  -1.1791E-01  -3.0896E+02   5.8288E+01  -3.7303E+00   5.8407E+01   2.6580E+02   4.2674E-04   2.2145E+02   1.4983E+01  -8.1425E-01   6.2319E+01
 1.0303E-01  -3.0377E-02  -1.1190E-01  -2.8061E+02   5.8739E+01  -4.3249E+00   5.8898E+01   2.6571E+02   4.2888E-04   2.2523E+02   1.5164E+01  -9.5790E-01   6.2643E+01
 9.7275E-02  -2.9988E-02  -1.0613E-01  -2.5005E+02   5.9146E+01  -4.9238E+00   5.9351E+01   2.6561E+02   4.3080E-04   2.2899E+02   1.5327E+01  -1.1024E+00   6.2936E+01
 9.1769E-02  -2.9568E-02  -1.0061E-01  -2.1702E+02   5.9529E+01  -5.5428E+00   5.9786E+01   2.6552E+02   4.3261E-04   2.3281E+02   1.5482E+01  -1.2488E+00   6.3215E+01
 8.6502E-02  -2.9121E-02  -9.5322E-02  -1.8347E+02   5.9892E+01  -6.1852E+00   6.0210E+01   2.6542E+02   4.3430E-04   2.3666E+02   1.5631E+01  -1.3998E+00   6.3477E+01
 8.1469E-02  -2.8647E-02  -9.0267E-02  -1.4802E+02   6.0228E+01  -6.8593E+00   6.0617E+01   2.6531E+02   4.3580E-04   2.4052E+02   1.5768E+01  -1.5565E+00   6.3714E+01
 7.6663E-02  -2.8151E-02  -8.5436E-02  -1.1062E+02   6.0522E+01  -7.5636E+00   6.0993E+01   2.6521E+02   4.3698E-04   2.4431E+02   1.5887E+01  -1.7214E+00   6.3908E+01
 7.2078E-02  -2.7631E-02  -8.0821E-02  -6.3064E+01   6.0744E+01  -8.2967E+00   6.1308E+01   2.6510E+02   4.3780E-04   2.4801E+02   1.5977E+01  -1.8916E+00   6.4051E+01
 6.7708E-02  -2.7091E-02  -7.6417E-02  -1.8098E+01   6.0924E+01  -9.0254E+00   6.1588E+01   2.6500E+02   4.3831E-04   2.5162E+02   1.6047E+01  -2.0621E+00   6.4153E+01
 6.3544E-02  -2.6535E-02  -7.2217E-02   3.2083E+01   6.1065E+01  -9.7888E+00   6.1844E+01   2.6489E+02   4.3855E-04   2.5518E+02   1.6101E+01  -2.2357E+00   6.4216E+01
 5.9581E-02  -2.5964E-02  -6.8213E-02   8.2801E+01   6.1157E+01  -1.0566E+01   6.2063E+01   2.6478E+02   4.3837E-04   2.5863E+02   1.6131E+01  -2.4137E+00   6.4225E+01
 5.5811E-02  -2.5380E-02  -6.4398E-02   1.3892E+02   6.1184E+01  -1.1367E+01   6.2231E+01   2.6466E+02   4.3774E-04   2.6194E+02   1.6132E+01  -2.5959E+00   6.4170E+01
 5.2228E-02  -2.4782E-02  -6.0765E-02   2.0238E+02   6.1130E+01  -1.2173E+01   6.2330E+01   2.6455E+02   4.3660E-04   2.6506E+02   1.6096E+01  -2.7788E+00   6.4046E+01
