#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
 2.0184E-01  -3.1334E-02  -2.1075E-01  -5.3870E+03   6.8249E+00   1.8237E-01   6.8273E+00   2.6299E+02   3.8992E-02   1.7162E+04   1.6535E+02   5.0066E+00   5.3492E+01
 1.9262E-01  -3.1586E-02  -2.0153E-01  -5.4257E+03   6.9033E+00   1.4182E-01   6.9048E+00   2.6297E+02   3.9299E-02   1.7320E+04   1.6831E+02   4.0979E+00   5.3898E+01
 1.8367E-01  -3.1777E-02  -1.9257E-01  -5.4731E+03   6.9836E+00   9.9847E-02   6.9844E+00   2.6296E+02   3.9610E-02   1.7483E+04   1.7136E+02   3.1479E+00   5.4311E+01
 1.7498E-01  -3.1911E-02  -1.8388E-01  -5.5413E+03   7.0674E+00   5.4507E-02   7.0676E+00   2.6294E+02   3.9928E-02   1.7650E+04   1.7454E+02   2.1164E+00   5.4732E+01
 1.6657E-01  -3.1986E-02  -1.7547E-01  -5.5010E+03   7.1486E+00   3.9201E-03   7.1486E+00   2.6291E+02   4.0233E-02   1.7813E+04   1.7764E+02   9.5591E-01   5.5138E+01
 1.5843E-01  -3.2001E-02  -1.6733E-01  -5.4089E+03   7.2254E+00  -4.7642E-02   7.2256E+00   2.6289E+02   4.0520E-02   1.7970E+04   1.8060E+02  -2.7183E-01   5.5520E+01
 1.5056E-01  -3.1962E-02  -1.5946E-01  -5.3333E+03   7.3041E+00  -1.0043E-01   7.3047E+00   2.6287E+02   4.0815E-02   1.8132E+04   1.8364E+02  -1.5179E+00   5.5912E+01
 1.4296E-01  -3.1874E-02  -1.5187E-01  -5.2783E+03   7.3855E+00  -1.5726E-01   7.3872E+00   2.6285E+02   4.1115E-02   1.8297E+04   1.8681E+02  -2.8555E+00   5.6311E+01
 1.3564E-01  -3.1735E-02  -1.4454E-01  -5.1000E+03   7.4629E+00  -2.1985E-01   7.4661E+00   2.6283E+02   4.1399E-02   1.8458E+04   1.8985E+02  -4.3338E+00   5.6689E+01
 1.2859E-01  -3.1547E-02  -1.3749E-01  -4.8766E+03   7.5350E+00  -2.8329E-01   7.5403E+00   2.6281E+02   4.1666E-02   1.8612E+04   1.9270E+02  -5.8756E+00   5.7045E+01
 1.2181E-01  -3.1315E-02  -1.3070E-01  -4.6682E+03   7.6083E+00  -3.4874E-01   7.6163E+00   2.6278E+02   4.1942E-02   1.8771E+04   1.9564E+02  -7.4407E+00   5.7411E+01
 1.1529E-01  -3.1042E-02  -1.2418E-01  -4.4895E+03   7.6834E+00  -4.1899E-01   7.6949E+00   2.6276E+02   4.2219E-02   1.8933E+04   1.9866E+02  -9.1110E+00   5.7781E+01
 1.0903E-01  -3.0730E-02  -1.1791E-01  -4.2137E+03   7.7537E+00  -4.9582E-01   7.7695E+00   2.6274E+02   4.2472E-02   1.9086E+04   2.0150E+02  -1.0950E+01   5.8120E+01
 1.0303E-01  -3.0377E-02  -1.1190E-01  -3.8377E+03   7.8143E+00  -5.7496E-01   7.8355E+00   2.6271E+02   4.2688E-02   1.9223E+04   2.0396E+02  -1.2884E+01   5.8409E+01
 9.7275E-02  -2.9988E-02  -1.0613E-01  -3.4321E+03   7.8692E+00  -6.5470E-01   7.8963E+00   2.6269E+02   4.2883E-02   1.9351E+04   2.0619E+02  -1.4831E+01   5.8670E+01
 9.1769E-02  -2.9568E-02  -1.0061E-01  -2.9937E+03   7.9208E+00  -7.3716E-01   7.9550E+00   2.6266E+02   4.3067E-02   1.9476E+04   2.0832E+02  -1.6804E+01   5.8918E+01
 8.6502E-02  -2.9121E-02  -9.5322E-02  -2.5485E+03   7.9698E+00  -8.2275E-01   8.0122E+00   2.6264E+02   4.3239E-02   1.9597E+04   2.1036E+02  -1.8839E+01   5.9150E+01
 8.1469E-02  -2.8647E-02  -9.0267E-02  -2.0779E+03   8.0154E+00  -9.1260E-01   8.0672E+00   2.6262E+02   4.3392E-02   1.9711E+04   2.1226E+02  -2.0953E+01   5.9359E+01
 7.6663E-02  -2.8151E-02  -8.5436E-02  -1.5814E+03   8.0555E+00  -1.0065E+00   8.1181E+00   2.6259E+02   4.3514E-02   1.9812E+04   2.1391E+02  -2.3179E+01   5.9528E+01
 7.2078E-02  -2.7631E-02  -8.0821E-02  -9.4932E+02   8.0860E+00  -1.1043E+00   8.1611E+00   2.6257E+02   4.3599E-02   1.9898E+04   2.1518E+02  -2.5476E+01   5.9649E+01
 6.7708E-02  -2.7091E-02  -7.6417E-02  -3.5194E+02   8.1107E+00  -1.2016E+00   8.1992E+00   2.6254E+02   4.3654E-02   1.9970E+04   2.1618E+02  -2.7779E+01   5.9731E+01
 6.3544E-02  -2.6535E-02  -7.2217E-02   3.1499E+02   8.1306E+00  -1.3035E+00   8.2344E+00   2.6252E+02   4.3681E-02   2.0033E+04   2.1697E+02  -3.0127E+01   5.9779E+01
 5.9581E-02  -2.5964E-02  -6.8213E-02   9.8899E+02   8.1438E+00  -1.4073E+00   8.2645E+00   2.6250E+02   4.3668E-02   2.0078E+04   2.1744E+02  -3.2535E+01   5.9774E+01
 5.5811E-02  -2.5380E-02  -6.4398E-02   1.7351E+03   8.1486E+00  -1.5144E+00   8.2882E+00   2.6247E+02   4.3608E-02   2.0105E+04   2.1752E+02  -3.5003E+01   5.9711E+01
 5.2228E-02  -2.4782E-02  -6.0765E-02   2.5792E+03   8.1424E+00  -1.6222E+00   8.3024E+00   2.6245E+02   4.3496E-02   2.0109E+04   2.1710E+02  -3.7479E+01   5.9582E+01
 4.8826E-02  -2.4175E-02  -5.7309E-02   3.4422E+03   8.1275E+00  -1.7289E+00   8.3094E+00   2.6243E+02   4.3339E-02   2.0094E+04   2.1629E+02  -3.9904E+01   5.9395E+01
 4.5596E-02  -2.3560E-02  -5.4021E-02   4.3705E+03   8.1046E+00  -1.8367E+00   8.3101E+00   2.6240E+02   4.3133E-02   2.0058E+04   2.1509E+02  -4.2295E+01   5.9147E+01
 4.2532E-02  -2.2938E-02  -5.0895E-02   5.3106E+03   8.0732E+00  -1.9445E+00   8.3041E+00   2.6238E+02   4.2874E-02   2.0001E+04   2.1349E+02  -4.4640E+01   5.8833E+01
 3.9628E-02  -2.2313E-02  -4.7924E-02   6.2657E+03   8.0332E+00  -2.0538E+00   8.2916E+00   2.6236E+02   4.2552E-02   1.9917E+04   2.1145E+02  -4.6965E+01   5.8441E+01
 3.6877E-02  -2.1684E-02  -4.5102E-02   7.3284E+03   7.9801E+00  -2.1646E+00   8.2684E+00   2.6234E+02   4.2147E-02   1.9797E+04   2.0877E+02  -4.9271E+01   5.7944E+01
 3.4273E-02  -2.1051E-02  -4.2422E-02   8.4331E+03   7.9127E+00  -2.2732E+00   8.2328E+00   2.6231E+02   4.1663E-02   1.9643E+04   2.0545E+02  -5.1467E+01   5.7351E+01
 3.1811E-02  -2.0416E-02  -3.9879E-02   9.5724E+03   7.8330E+00  -2.3807E+00   8.1868E+00   2.6229E+02   4.1085E-02   1.9448E+04   2.0151E+02  -5.3510E+01   5.6641E+01
 2.9483E-02  -1.9780E-02  -3.7466E-02   1.0773E+04   7.7380E+00  -2.4872E+00   8.1279E+00   2.6227E+02   4.0395E-02   1.9207E+04   1.9683E+02  -5.5418E+01   5.5797E+01
 2.7285E-02  -1.9143E-02  -3.5177E-02   1.2114E+04   7.6240E+00  -2.5900E+00   8.0520E+00   2.6226E+02   3.9576E-02   1.8911E+04   1.9126E+02  -5.7105E+01   5.4796E+01
 2.5210E-02  -1.8506E-02  -3.3007E-02   1.3502E+04   7.4925E+00  -2.6857E+00   7.9593E+00   2.6224E+02   3.8636E-02   1.8562E+04   1.8491E+02  -5.8449E+01   5.3652E+01
 2.3254E-02  -1.7870E-02  -3.0950E-02   1.4946E+04   7.3465E+00  -2.7763E+00   7.8536E+00   2.6222E+02   3.7531E-02   1.8146E+04   1.7778E+02  -5.9407E+01   5.2316E+01
 2.1411E-02  -1.7237E-02  -2.9001E-02   1.6430E+04   7.1857E+00  -2.8617E+00   7.7346E+00   2.6220E+02   3.6220E-02   1.7651E+04   1.6982E+02  -5.9956E+01   5.0752E+01
 1.9675E-02  -1.6608E-02  -2.7155E-02   1.7941E+04   7.0097E+00  -2.9416E+00   7.6019E+00   2.6219E+02   3.4647E-02   1.7059E+04   1.6093E+02  -6.0036E+01   4.8905E+01
 1.8042E-02  -1.5983E-02  -2.5406E-02   1.9530E+04   6.8153E+00  -3.0152E+00   7.4525E+00   2.6217E+02   3.2746E-02   1.6352E+04   1.5097E+02  -5.9596E+01   4.6730E+01
 1.6508E-02  -1.5360E-02  -2.3750E-02   2.1206E+04   6.5995E+00  -3.0788E+00   7.2824E+00   2.6216E+02   3.0495E-02   1.5529E+04   1.3997E+02  -5.8541E+01   4.4230E+01
 1.5068E-02  -1.4741E-02  -2.2183E-02   2.2943E+04   6.3626E+00  -3.1298E+00   7.0907E+00   2.6215E+02   2.7890E-02   1.4618E+04   1.2829E+02  -5.6877E+01   4.1487E+01
 1.3719E-02  -1.4125E-02  -2.0700E-02   2.4779E+04   6.1031E+00  -3.1661E+00   6.8755E+00   2.6214E+02   2.4976E-02   1.3659E+04   1.1630E+02  -5.4718E+01   3.8619E+01
