#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
 6.2285E-02   2.4282E-03  -6.3249E-02   7.3748E+02   1.0688E+00   8.3168E-02   1.0720E+00   2.7299E+02   2.3862E-11   2.2672E+02   1.0946E+01   8.5174E-01   3.7258E-01
 5.9412E-02   2.1996E-03  -6.0367E-02   7.0220E+02   1.0901E+00   8.8732E-02   1.0937E+00   2.7299E+02   2.4845E-11   2.2982E+02   1.1163E+01   9.0872E-01   3.7633E-01
 5.6629E-02   1.9690E-03  -5.7574E-02   6.6597E+02   1.1131E+00   9.3863E-02   1.1170E+00   2.7298E+02   2.5917E-11   2.3302E+02   1.1399E+01   9.6125E-01   3.8032E-01
 5.3935E-02   1.7387E-03  -5.4870E-02   6.2930E+02   1.1374E+00   9.8551E-02   1.1417E+00   2.7298E+02   2.7063E-11   2.3629E+02   1.1648E+01   1.0093E+00   3.8450E-01
 5.1331E-02   1.5109E-03  -5.2257E-02   5.9278E+02   1.1626E+00   1.0278E-01   1.1671E+00   2.7298E+02   2.8264E-11   2.3960E+02   1.1906E+01   1.0526E+00   3.8877E-01
 4.8818E-02   1.2871E-03  -4.9733E-02   5.5710E+02   1.1879E+00   1.0655E-01   1.1926E+00   2.7298E+02   2.9489E-11   2.4291E+02   1.2165E+01   1.0911E+00   3.9299E-01
 4.6395E-02   1.0685E-03  -4.7301E-02   5.2204E+02   1.2127E+00   1.0997E-01   1.2177E+00   2.7298E+02   3.0721E-11   2.4620E+02   1.2419E+01   1.1262E+00   3.9710E-01
 4.4062E-02   8.5606E-04  -4.4958E-02   4.8739E+02   1.2373E+00   1.1312E-01   1.2424E+00   2.7297E+02   3.1968E-11   2.4949E+02   1.2670E+01   1.1584E+00   4.0111E-01
 4.1817E-02   6.5026E-04  -4.2704E-02   4.5306E+02   1.2616E+00   1.1600E-01   1.2670E+00   2.7297E+02   3.3232E-11   2.5277E+02   1.2920E+01   1.1879E+00   4.0505E-01
 3.9660E-02   4.5161E-04  -4.0538E-02   4.1893E+02   1.2858E+00   1.1863E-01   1.2913E+00   2.7297E+02   3.4516E-11   2.5605E+02   1.3168E+01   1.2148E+00   4.0893E-01
 3.7590E-02   2.6046E-04  -3.8458E-02   3.8489E+02   1.3099E+00   1.2102E-01   1.3155E+00   2.7297E+02   3.5818E-11   2.5933E+02   1.3414E+01   1.2394E+00   4.1274E-01
 3.5605E-02   7.7038E-05  -3.6465E-02   3.5084E+02   1.3338E+00   1.2320E-01   1.3395E+00   2.7296E+02   3.7139E-11   2.6261E+02   1.3659E+01   1.2616E+00   4.1649E-01
 3.3703E-02  -9.8506E-05  -3.4555E-02   3.1667E+02   1.3574E+00   1.2516E-01   1.3632E+00   2.7296E+02   3.8475E-11   2.6590E+02   1.3901E+01   1.2817E+00   4.2016E-01
 3.1882E-02  -2.6614E-04  -3.2726E-02   2.8219E+02   1.3806E+00   1.2694E-01   1.3865E+00   2.7296E+02   3.9822E-11   2.6921E+02   1.4138E+01   1.2999E+00   4.2374E-01
 3.0141E-02  -4.2594E-04  -3.0978E-02   2.4693E+02   1.4035E+00   1.2859E-01   1.4093E+00   2.7296E+02   4.1186E-11   2.7256E+02   1.4372E+01   1.3168E+00   4.2722E-01
 2.8478E-02  -5.7805E-04  -2.9308E-02   2.1048E+02   1.4260E+00   1.3014E-01   1.4319E+00   2.7295E+02   4.2576E-11   2.7597E+02   1.4602E+01   1.3326E+00   4.3062E-01
 2.6890E-02  -7.2265E-04  -2.7714E-02   1.7218E+02   1.4475E+00   1.3152E-01   1.4534E+00   2.7295E+02   4.3995E-11   2.7950E+02   1.4822E+01   1.3468E+00   4.3385E-01
 2.5376E-02  -8.5995E-04  -2.6193E-02   1.2919E+02   1.4698E+00   1.3290E-01   1.4758E+00   2.7295E+02   4.5567E-11   2.8317E+02   1.5051E+01   1.3609E+00   4.3718E-01
 2.3932E-02  -9.8983E-04  -2.4744E-02   8.0085E+01   1.4988E+00   1.3411E-01   1.5048E+00   2.7295E+02   4.7538E-11   2.8701E+02   1.5348E+01   1.3733E+00   4.4145E-01
 2.2557E-02  -1.1115E-03  -2.3363E-02   2.8650E+01   1.5355E+00   1.3420E-01   1.5413E+00   2.7294E+02   4.9926E-11   2.9104E+02   1.5723E+01   1.3742E+00   4.4678E-01
 2.1248E-02  -1.2240E-03  -2.2049E-02  -2.3076E+01   1.5763E+00   1.3288E-01   1.5819E+00   2.7294E+02   5.2567E-11   2.9515E+02   1.6141E+01   1.3607E+00   4.5262E-01
 2.0002E-02  -1.3266E-03  -2.0799E-02  -7.3803E+01   1.6193E+00   1.3008E-01   1.6245E+00   2.7294E+02   5.5370E-11   2.9926E+02   1.6581E+01   1.3320E+00   4.5868E-01
 1.8817E-02  -1.4191E-03  -1.9610E-02  -1.2271E+02   1.6631E+00   1.2581E-01   1.6679E+00   2.7293E+02   5.8268E-11   3.0330E+02   1.7030E+01   1.2882E+00   4.6477E-01
 1.7690E-02  -1.5015E-03  -1.8480E-02  -1.6930E+02   1.7069E+00   1.2011E-01   1.7111E+00   2.7293E+02   6.1209E-11   3.0727E+02   1.7478E+01   1.2299E+00   4.7075E-01
 1.6619E-02  -1.5738E-03  -1.7407E-02  -2.1352E+02   1.7500E+00   1.1307E-01   1.7537E+00   2.7293E+02   6.4165E-11   3.1114E+02   1.7920E+01   1.1578E+00   4.7657E-01
 1.5603E-02  -1.6365E-03  -1.6389E-02  -2.5533E+02   1.7924E+00   1.0477E-01   1.7955E+00   2.7293E+02   6.7124E-11   3.1491E+02   1.8353E+01   1.0728E+00   4.8222E-01
 1.4638E-02  -1.6898E-03  -1.5422E-02  -2.9453E+02   1.8335E+00   9.5246E-02   1.8360E+00   2.7292E+02   7.0055E-11   3.1859E+02   1.8775E+01   9.7528E-01   4.8763E-01
 1.3724E-02  -1.7343E-03  -1.4507E-02  -3.3135E+02   1.8719E+00   8.4567E-02   1.8738E+00   2.7292E+02   7.2903E-11   3.2215E+02   1.9167E+01   8.6593E-01   4.9263E-01
 1.2858E-02  -1.7705E-03  -1.3640E-02  -3.6765E+02   1.9083E+00   7.2915E-02   1.9097E+00   2.7292E+02   7.5766E-11   3.2557E+02   1.9540E+01   7.4661E-01   4.9733E-01
 1.2038E-02  -1.7989E-03  -1.2820E-02  -4.0505E+02   1.9501E+00   6.0148E-02   1.9510E+00   2.7292E+02   7.9013E-11   3.2896E+02   1.9968E+01   6.1589E-01   5.0268E-01
 1.1262E-02  -1.8197E-03  -1.2044E-02  -4.3962E+02   2.0000E+00   4.5108E-02   2.0005E+00   2.7291E+02   8.2728E-11   3.3245E+02   2.0479E+01   4.6188E-01   5.0902E-01
 1.0527E-02  -1.8331E-03  -1.1309E-02  -4.6917E+02   2.0536E+00   2.7644E-02   2.0538E+00   2.7291E+02   8.6659E-11   3.3602E+02   2.1028E+01   2.8306E-01   5.1575E-01
 9.8302E-03  -1.8392E-03  -1.0612E-02  -4.9243E+02   2.1092E+00   7.9541E-03   2.1092E+00   2.7291E+02   9.0691E-11   3.3966E+02   2.1597E+01   8.1446E-02   5.2266E-01
 9.1692E-03  -1.8384E-03  -9.9508E-03  -5.0826E+02   2.1673E+00  -1.3728E-02   2.1673E+00   2.7291E+02   9.4756E-11   3.4346E+02   2.2192E+01  -1.4056E-01   5.2981E-01
 8.5420E-03  -1.8313E-03  -9.3236E-03  -5.1334E+02   2.2222E+00  -3.7084E-02   2.2226E+00   2.7290E+02   9.8412E-11   3.4745E+02   2.2754E+01  -3.7971E-01   5.3652E-01
 7.9472E-03  -1.8185E-03  -8.7286E-03  -5.0702E+02   2.2580E+00  -6.0199E-02   2.2588E+00   2.7290E+02   1.0077E-10   3.5134E+02   2.3120E+01  -6.1639E-01   5.4088E-01
 7.3839E-03  -1.8011E-03  -8.1650E-03  -4.9692E+02   2.2704E+00  -8.0166E-02   2.2718E+00   2.7290E+02   1.0171E-10   3.5483E+02   2.3247E+01  -8.2082E-01   5.4244E-01
 6.8519E-03  -1.7804E-03  -7.6327E-03  -4.8731E+02   2.2669E+00  -9.6866E-02   2.2690E+00   2.7290E+02   1.0171E-10   3.5801E+02   2.3211E+01  -9.9180E-01   5.4211E-01
 6.3508E-03  -1.7574E-03  -7.1311E-03  -4.8155E+02   2.2495E+00  -1.1047E-01   2.2522E+00   2.7289E+02   1.0093E-10   3.6089E+02   2.3032E+01  -1.1311E+00   5.4010E-01
 5.8798E-03  -1.7330E-03  -6.6594E-03  -4.8257E+02   2.2175E+00  -1.2107E-01   2.2208E+00   2.7289E+02   9.9397E-11   3.6328E+02   2.2704E+01  -1.2396E+00   5.3632E-01
 5.4378E-03  -1.7079E-03  -6.2167E-03  -4.9326E+02   2.1670E+00  -1.2855E-01   2.1709E+00   2.7289E+02   9.6920E-11   3.6482E+02   2.2188E+01  -1.3162E+00   5.3026E-01
 5.0237E-03  -1.6824E-03  -5.8018E-03  -5.1683E+02   2.0875E+00  -1.3227E-01   2.0917E+00   2.7289E+02   9.3073E-11   3.6477E+02   2.1374E+01  -1.3543E+00   5.2051E-01
 4.6361E-03  -1.6572E-03  -5.4134E-03  -5.5954E+02   1.9591E+00  -1.3091E-01   1.9635E+00   2.7289E+02   8.7726E-11   3.6216E+02   2.0059E+01  -1.3404E+00   5.0430E-01
 4.2739E-03  -1.6324E-03  -5.0503E-03  -6.4355E+02   1.8300E+00  -1.2793E-01   1.8344E+00   2.7290E+02   8.4534E-11   3.5761E+02   1.8737E+01  -1.3098E+00   4.8744E-01
 3.9350E-03  -1.6076E-03  -4.7106E-03  -7.7506E+02   1.8660E+00  -1.4282E-01   1.8715E+00   2.7290E+02   9.1413E-11   3.5604E+02   1.9107E+01  -1.4625E+00   4.9232E-01
 3.6164E-03  -1.5807E-03  -4.3908E-03  -9.0726E+02   2.1190E+00  -1.9671E-01   2.1281E+00   2.7289E+02   1.1141E-10   3.6240E+02   2.1700E+01  -2.0145E+00   5.2497E-01
 3.3146E-03  -1.5492E-03  -4.0873E-03  -1.0162E+03   2.4962E+00  -2.9289E-01   2.5133E+00   2.7288E+02   1.4117E-10   3.7548E+02   2.5565E+01  -2.9997E+00   5.7047E-01
 3.0267E-03  -1.5112E-03  -3.7969E-03  -1.0849E+03   2.9251E+00  -4.3256E-01   2.9569E+00   2.7287E+02   1.7681E-10   3.9242E+02   2.9959E+01  -4.4304E+00   6.1875E-01
 2.7507E-03  -1.4658E-03  -3.5172E-03  -1.1038E+03   3.3425E+00  -6.1008E-01   3.3977E+00   2.7286E+02   2.1336E-10   4.1105E+02   3.4236E+01  -6.2488E+00   6.6327E-01
 2.4850E-03  -1.4126E-03  -3.2461E-03  -1.0697E+03   3.7009E+00  -8.1269E-01   3.7891E+00   2.7285E+02   2.4602E-10   4.2987E+02   3.7907E+01  -8.3240E+00   7.0043E-01
 2.2285E-03  -1.3515E-03  -2.9824E-03  -9.8635E+02   3.9656E+00  -1.0220E+00   4.0952E+00   2.7283E+02   2.7146E-10   4.4814E+02   4.0617E+01  -1.0468E+01   7.2818E-01
 1.9808E-03  -1.2829E-03  -2.7253E-03  -8.6960E+02   4.1388E+00  -1.2249E+00   4.3162E+00   2.7282E+02   2.8964E-10   4.6551E+02   4.2389E+01  -1.2545E+01   7.4758E-01
 1.7434E-03  -1.2082E-03  -2.4764E-03  -7.3387E+02   4.2692E+00  -1.4285E+00   4.5018E+00   2.7281E+02   3.0449E-10   4.8320E+02   4.3724E+01  -1.4631E+01   7.6350E-01
 1.5193E-03  -1.1288E-03  -2.2386E-03  -5.8312E+02   4.3948E+00  -1.6477E+00   4.6935E+00   2.7279E+02   3.1936E-10   5.0307E+02   4.5011E+01  -1.6875E+01   7.7958E-01
 1.3108E-03  -1.0463E-03  -2.0144E-03  -4.1907E+02   4.5244E+00  -1.8912E+00   4.9038E+00   2.7278E+02   3.3476E-10   5.2576E+02   4.6339E+01  -1.9370E+01   7.9684E-01
 1.1192E-03  -9.6185E-04  -1.8049E-03  -2.4133E+02   4.6606E+00  -2.1672E+00   5.1399E+00   2.7276E+02   3.5105E-10   5.5177E+02   4.7737E+01  -2.2198E+01   8.1578E-01
 9.4507E-04  -8.7652E-04  -1.6110E-03  -4.8312E+01   4.7994E+00  -2.4818E+00   5.4031E+00   2.7274E+02   3.6767E-10   5.8142E+02   4.9161E+01  -2.5422E+01   8.3639E-01
 7.8844E-04  -7.9114E-04  -1.4326E-03   1.6190E+02   4.9313E+00  -2.8390E+00   5.6901E+00   2.7271E+02   3.8461E-10   6.1490E+02   5.0516E+01  -2.9083E+01   8.5828E-01
 6.4893E-04  -7.0637E-04  -1.2693E-03   3.9119E+02   5.0410E+00  -3.2389E+00   5.9918E+00   2.7269E+02   3.9983E-10   6.5203E+02   5.1646E+01  -3.3183E+01   8.8069E-01
 5.2585E-04  -6.2277E-04  -1.1204E-03   6.4118E+02   5.1096E+00  -3.6772E+00   6.2952E+00   2.7266E+02   4.0970E-10   6.9274E+02   5.2356E+01  -3.7679E+01   9.0264E-01
 4.1833E-04  -5.4077E-04  -9.8515E-04   9.1263E+02   5.1148E+00  -4.1433E+00   6.5824E+00   2.7263E+02   4.1565E-10   7.3721E+02   5.2420E+01  -4.2463E+01   9.2292E-01
 3.2536E-04  -4.6070E-04  -8.6240E-04   1.2049E+03   5.0296E+00  -4.6150E+00   6.8261E+00   2.7259E+02   4.1699E-10   7.8473E+02   5.1558E+01  -4.7307E+01   9.3974E-01
 2.4587E-04  -3.8284E-04  -7.5107E-04   1.5152E+03   4.8282E+00  -5.0582E+00   6.9926E+00   2.7256E+02   4.1083E-10   8.3414E+02   4.9506E+01  -5.1865E+01   9.5101E-01
 1.7874E-04  -3.0738E-04  -6.5001E-04   1.8383E+03   4.4919E+00  -5.4279E+00   7.0455E+00   2.7252E+02   3.9371E-10   8.8421E+02   4.6071E+01  -5.5671E+01   9.5446E-01
 1.2288E-04  -2.3446E-04  -5.5808E-04   2.1668E+03   4.0154E+00  -5.6690E+00   6.9470E+00   2.7249E+02   3.6605E-10   9.3404E+02   4.1196E+01  -5.8162E+01   9.4762E-01
 7.7199E-05  -1.6418E-04  -4.7420E-04   2.4900E+03   3.4121E+00  -5.7234E+00   6.6633E+00   2.7246E+02   3.2964E-10   9.8234E+02   3.5018E+01  -5.8739E+01   9.2792E-01
 4.0658E-05  -9.6600E-05  -3.9731E-04   2.7944E+03   2.7230E+00  -5.5506E+00   6.1826E+00   2.7242E+02   2.8729E-10   1.0275E+03   2.7955E+01  -5.6983E+01   8.9368E-01
 1.2273E-05  -3.1745E-05  -3.2645E-04   3.0692E+03   2.0126E+00  -5.1472E+00   5.5267E+00   2.7239E+02   2.6698E-10   1.0737E+03   2.0667E+01  -5.2857E+01   8.4482E-01
-9.3624E-06   3.2217E-05  -2.5887E-04   3.3121E+03   1.3205E+00  -4.4655E+00   4.6566E+00   2.7237E+02   2.4373E-10   1.1106E+03   1.3562E+01  -4.5861E+01   7.7543E-01
-2.5548E-05   9.9064E-05  -1.9002E-04   3.5173E+03   7.0554E-01  -3.4698E+00   3.5408E+00   2.7236E+02   1.7834E-10   1.1244E+03   7.2455E+00  -3.5634E+01   6.7620E-01
