#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
 2.0184E-01  -3.1334E-02  -2.1075E-01  -1.5907E+02   5.2884E+01   1.4118E+00   5.2903E+01   2.6671E+02   4.0447E-04   1.8576E+02   1.2997E+01   3.9352E-01   5.8943E+01
 1.9262E-01  -3.1586E-02  -2.0153E-01  -1.6145E+02   5.3490E+01   1.0971E+00   5.3501E+01   2.6661E+02   4.0758E-04   1.8963E+02   1.3227E+01   3.2204E-01   5.9398E+01
 1.8367E-01  -3.1777E-02  -1.9257E-01  -1.6448E+02   5.4107E+01   7.7141E-01   5.4113E+01   2.6659E+02   4.1073E-04   1.9136E+02   1.3464E+01   2.4735E-01   5.9850E+01
 1.7498E-01  -3.1911E-02  -1.8388E-01  -1.6914E+02   5.4753E+01   4.1980E-01   5.4755E+01   2.6654E+02   4.1396E-04   1.9427E+02   1.3712E+01   1.6627E-01   6.0315E+01
 1.6657E-01  -3.1986E-02  -1.7547E-01  -1.6517E+02   5.5375E+01   2.7281E-02   5.5375E+01   2.6635E+02   4.1704E-04   2.0107E+02   1.3952E+01   7.5077E-02   6.0789E+01
 1.5843E-01  -3.2001E-02  -1.6733E-01  -1.5709E+02   5.5967E+01  -3.7274E-01   5.5969E+01   2.6647E+02   4.1996E-04   1.9852E+02   1.4183E+01  -2.1348E-02   6.1181E+01
 1.5056E-01  -3.1962E-02  -1.5946E-01  -1.5027E+02   5.6566E+01  -7.8213E-01   5.6572E+01   2.6632E+02   4.2293E-04   2.0401E+02   1.4418E+01  -1.1917E-01   6.1632E+01
 1.4296E-01  -3.1874E-02  -1.5187E-01  -1.4506E+02   5.7194E+01  -1.2226E+00   5.7207E+01   2.6607E+02   4.2601E-04   2.1288E+02   1.4662E+01  -2.2412E-01   6.2106E+01
 1.3564E-01  -3.1735E-02  -1.4454E-01  -1.3006E+02   5.7779E+01  -1.7078E+00   5.7804E+01   2.6626E+02   4.2880E-04   2.0811E+02   1.4898E+01  -3.4010E-01   6.2485E+01
 1.2859E-01  -3.1547E-02  -1.3749E-01  -1.1146E+02   5.8335E+01  -2.1995E+00   5.8376E+01   2.6606E+02   4.3156E-04   2.1545E+02   1.5117E+01  -4.6091E-01   6.2898E+01
 1.2181E-01  -3.1315E-02  -1.3070E-01  -9.4020E+01   5.8883E+01  -2.7062E+00   5.8945E+01   2.6588E+02   4.3428E-04   2.2201E+02   1.5341E+01  -5.8345E-01   6.3332E+01
 1.1529E-01  -3.1042E-02  -1.2418E-01  -7.8898E+01   5.9463E+01  -3.2499E+00   5.9552E+01   2.6596E+02   4.3710E-04   2.2068E+02   1.5575E+01  -7.1428E-01   6.3707E+01
 1.0903E-01  -3.0730E-02  -1.1791E-01  -5.6060E+01   5.9982E+01  -3.8439E+00   6.0105E+01   2.6575E+02   4.3957E-04   2.2830E+02   1.5788E+01  -8.5797E-01   6.4113E+01
 1.0303E-01  -3.0377E-02  -1.1190E-01  -2.5276E+01   6.0451E+01  -4.4559E+00   6.0615E+01   2.6569E+02   4.4178E-04   2.3119E+02   1.5976E+01  -1.0092E+00   6.4425E+01
 9.7275E-02  -2.9988E-02  -1.0613E-01   7.8833E+00   6.0846E+01  -5.0715E+00   6.1057E+01   2.6563E+02   4.4361E-04   2.3392E+02   1.6142E+01  -1.1611E+00   6.4719E+01
 9.1769E-02  -2.9568E-02  -1.0061E-01   4.3658E+01   6.1247E+01  -5.7084E+00   6.1513E+01   2.6546E+02   4.4549E-04   2.3998E+02   1.6303E+01  -1.3150E+00   6.5000E+01
 8.6502E-02  -2.9121E-02  -9.5322E-02   8.0018E+01   6.1591E+01  -6.3677E+00   6.1920E+01   2.6542E+02   4.4706E-04   2.4190E+02   1.6452E+01  -1.4734E+00   6.5257E+01
 8.1469E-02  -2.8647E-02  -9.0267E-02   1.1841E+02   6.1948E+01  -7.0606E+00   6.2349E+01   2.6531E+02   4.4861E-04   2.4612E+02   1.6595E+01  -1.6382E+00   6.5481E+01
 7.6663E-02  -2.8151E-02  -8.5436E-02   1.5888E+02   6.2217E+01  -7.7826E+00   6.2702E+01   2.6516E+02   4.4965E-04   2.5141E+02   1.6710E+01  -1.8107E+00   6.5687E+01
 7.2078E-02  -2.7631E-02  -8.0821E-02   2.1010E+02   6.2459E+01  -8.5355E+00   6.3039E+01   2.6509E+02   4.5050E-04   2.5398E+02   1.6804E+01  -1.9895E+00   6.5805E+01
 6.7708E-02  -2.7091E-02  -7.6417E-02   2.5861E+02   6.2606E+01  -9.2811E+00   6.3290E+01   2.6500E+02   4.5084E-04   2.5726E+02   1.6868E+01  -2.1675E+00   6.5904E+01
 6.3544E-02  -2.6535E-02  -7.2217E-02   3.1265E+02   6.2766E+01  -1.0064E+01   6.3568E+01   2.6486E+02   4.5108E-04   2.6156E+02   1.6923E+01  -2.3498E+00   6.5950E+01
 5.9581E-02  -2.5964E-02  -6.8213E-02   3.6728E+02   6.2821E+01  -1.0858E+01   6.3752E+01   2.6475E+02   4.5071E-04   2.6520E+02   1.6943E+01  -2.5352E+00   6.5955E+01
 5.5811E-02  -2.5380E-02  -6.4398E-02   4.2765E+02   6.2864E+01  -1.1679E+01   6.3940E+01   2.6465E+02   4.5004E-04   2.6817E+02   1.6943E+01  -2.7264E+00   6.5873E+01
 5.2228E-02  -2.4782E-02  -6.0765E-02   4.9576E+02   6.2767E+01  -1.2501E+01   6.4000E+01   2.6453E+02   4.4869E-04   2.7136E+02   1.6893E+01  -2.9163E+00   6.5738E+01
 4.8826E-02  -2.4175E-02  -5.7309E-02   5.6541E+02   6.2656E+01  -1.3317E+01   6.4056E+01   2.6441E+02   4.4699E-04   2.7426E+02   1.6821E+01  -3.1035E+00   6.5520E+01
 4.5596E-02  -2.3560E-02  -5.4021E-02   6.4021E+02   6.2429E+01  -1.4137E+01   6.4010E+01   2.6429E+02   4.4465E-04   2.7707E+02   1.6708E+01  -3.2856E+00   6.5247E+01
 4.2532E-02  -2.2938E-02  -5.0895E-02   7.1600E+02   6.2183E+01  -1.4960E+01   6.3958E+01   2.6417E+02   4.4191E-04   2.7972E+02   1.6574E+01  -3.4655E+00   6.4890E+01
 3.9628E-02  -2.2313E-02  -4.7924E-02   7.9298E+02   6.1824E+01  -1.5791E+01   6.3808E+01   2.6406E+02   4.3839E-04   2.8167E+02   1.6395E+01  -3.6415E+00   6.4455E+01
 3.6877E-02  -2.1684E-02  -4.5102E-02   8.7849E+02   6.1404E+01  -1.6634E+01   6.3618E+01   2.6394E+02   4.3413E-04   2.8322E+02   1.6175E+01  -3.8174E+00   6.3893E+01
 3.4273E-02  -2.1051E-02  -4.2422E-02   9.6732E+02   6.0836E+01  -1.7457E+01   6.3291E+01   2.6382E+02   4.2899E-04   2.8456E+02   1.5897E+01  -3.9823E+00   6.3232E+01
 3.1811E-02  -2.0416E-02  -3.9879E-02   1.0589E+03   6.0207E+01  -1.8274E+01   6.2919E+01   2.6371E+02   4.2296E-04   2.8506E+02   1.5578E+01  -4.1366E+00   6.2434E+01
 2.9483E-02  -1.9780E-02  -3.7466E-02   1.1553E+03   5.9429E+01  -1.9078E+01   6.2416E+01   2.6360E+02   4.1573E-04   2.8484E+02   1.5195E+01  -4.2782E+00   6.1489E+01
 2.7285E-02  -1.9143E-02  -3.5177E-02   1.2628E+03   5.8533E+01  -1.9856E+01   6.1809E+01   2.6349E+02   4.0725E-04   2.8384E+02   1.4749E+01  -4.4036E+00   6.0366E+01
 2.5210E-02  -1.8506E-02  -3.3007E-02   1.3740E+03   5.7476E+01  -2.0575E+01   6.1048E+01   2.6338E+02   3.9749E-04   2.8195E+02   1.4237E+01  -4.5002E+00   5.9081E+01
 2.3254E-02  -1.7870E-02  -3.0950E-02   1.4895E+03   5.6331E+01  -2.1256E+01   6.0208E+01   2.6328E+02   3.8609E-04   2.7900E+02   1.3670E+01  -4.5679E+00   5.7582E+01
 2.1411E-02  -1.7237E-02  -2.9001E-02   1.6082E+03   5.5051E+01  -2.1892E+01   5.9244E+01   2.6319E+02   3.7260E-04   2.7478E+02   1.3033E+01  -4.6011E+00   5.5818E+01
 1.9675E-02  -1.6608E-02  -2.7155E-02   1.7291E+03   5.3673E+01  -2.2487E+01   5.8193E+01   2.6309E+02   3.5643E-04   2.6905E+02   1.2328E+01  -4.5990E+00   5.3740E+01
 1.8042E-02  -1.5983E-02  -2.5406E-02   1.8560E+03   5.2135E+01  -2.3030E+01   5.6995E+01   2.6301E+02   3.3706E-04   2.6141E+02   1.1534E+01  -4.5530E+00   5.1275E+01
 1.6508E-02  -1.5360E-02  -2.3750E-02   1.9897E+03   5.0449E+01  -2.3494E+01   5.5652E+01   2.6293E+02   3.1410E-04   2.5190E+02   1.0664E+01  -4.4602E+00   4.8450E+01
 1.5068E-02  -1.4741E-02  -2.2183E-02   2.1281E+03   4.8586E+01  -2.3858E+01   5.4127E+01   2.6285E+02   2.8779E-04   2.4072E+02   9.7334E+00  -4.3154E+00   4.5314E+01
 1.3719E-02  -1.4125E-02  -2.0700E-02   2.2741E+03   4.6562E+01  -2.4108E+01   5.2433E+01   2.6279E+02   2.5836E-04   2.2845E+02   8.7812E+00  -4.1316E+00   4.2022E+01
 1.2456E-02  -1.3514E-02  -1.9296E-02   2.4270E+03   4.4352E+01  -2.4212E+01   5.0530E+01   2.6272E+02   2.2686E-04   2.1606E+02   7.8481E+00  -3.9210E+00   3.8796E+01
