#        X=           Y=           S=           P=           U=           V=         Vel=           T=         mut=         hcv=          Ax=          Ay=       Yplus=
 2.2105E-01  -3.8172E-02  -2.3074E-01   6.2172E+02   3.2634E+01   3.8845E-02   3.2634E+01   2.6634E+02   7.4005E-04   2.9153E+02   1.2020E+01   7.8066E-02   1.0600E+02
 2.1085E-01  -3.8196E-02  -2.2054E-01   6.8133E+02   3.2674E+01  -2.3440E-01   3.2675E+01   2.6627E+02   7.3851E-04   2.9405E+02   1.2015E+01  -2.3611E-02   1.0581E+02
 2.0094E-01  -3.8137E-02  -2.1063E-01   7.4397E+02   3.2686E+01  -4.9456E-01   3.2689E+01   2.6620E+02   7.3656E-04   2.9648E+02   1.1993E+01  -1.1994E-01   1.0556E+02
 1.9134E-01  -3.8005E-02  -2.0102E-01   8.0905E+02   3.2672E+01  -7.4197E-01   3.2680E+01   2.6613E+02   7.3428E-04   2.9884E+02   1.1957E+01  -2.1078E-01   1.0527E+02
 1.8203E-01  -3.7808E-02  -1.9172E-01   8.7606E+02   3.2644E+01  -9.7733E-01   3.2658E+01   2.6605E+02   7.3171E-04   3.0121E+02   1.1912E+01  -2.9615E-01   1.0494E+02
 1.7303E-01  -3.7554E-02  -1.8271E-01   9.4464E+02   3.2603E+01  -1.2015E+00   3.2625E+01   2.6598E+02   7.2893E-04   3.0362E+02   1.1860E+01  -3.7613E-01   1.0457E+02
 1.6433E-01  -3.7250E-02  -1.7401E-01   1.0144E+03   3.2554E+01  -1.4161E+00   3.2584E+01   2.6589E+02   7.2601E-04   3.0612E+02   1.1802E+01  -4.5091E-01   1.0419E+02
 1.5595E-01  -3.6904E-02  -1.6561E-01   1.0844E+03   3.2503E+01  -1.6236E+00   3.2544E+01   2.6581E+02   7.2314E-04   3.0875E+02   1.1745E+01  -5.2084E-01   1.0382E+02
 1.4786E-01  -3.6523E-02  -1.5752E-01   1.1524E+03   3.2464E+01  -1.8293E+00   3.2516E+01   2.6572E+02   7.2052E-04   3.1162E+02   1.1697E+01  -5.8662E-01   1.0349E+02
 1.4008E-01  -3.6110E-02  -1.4973E-01   1.2177E+03   3.2444E+01  -2.0445E+00   3.2508E+01   2.6563E+02   7.1817E-04   3.1473E+02   1.1659E+01  -6.5254E-01   1.0319E+02
 1.3259E-01  -3.5668E-02  -1.4223E-01   1.2831E+03   3.2428E+01  -2.2778E+00   3.2508E+01   2.6553E+02   7.1577E-04   3.1798E+02   1.1622E+01  -7.2463E-01   1.0289E+02
 1.2540E-01  -3.5195E-02  -1.3502E-01   1.3503E+03   3.2396E+01  -2.5258E+00   3.2495E+01   2.6543E+02   7.1298E-04   3.2119E+02   1.1575E+01  -8.0172E-01   1.0253E+02
 1.1850E-01  -3.4692E-02  -1.2810E-01   1.4202E+03   3.2338E+01  -2.7850E+00   3.2458E+01   2.6533E+02   7.0960E-04   3.2426E+02   1.1511E+01  -8.8205E-01   1.0209E+02
 1.1189E-01  -3.4160E-02  -1.2147E-01   1.4932E+03   3.2247E+01  -3.0514E+00   3.2391E+01   2.6522E+02   7.0553E-04   3.2712E+02   1.1425E+01  -9.6394E-01   1.0156E+02
 1.0555E-01  -3.3601E-02  -1.1511E-01   1.5695E+03   3.2119E+01  -3.3218E+00   3.2291E+01   2.6511E+02   7.0067E-04   3.2973E+02   1.1317E+01  -1.0457E+00   1.0091E+02
 9.9487E-02  -3.3016E-02  -1.0902E-01   1.6490E+03   3.1952E+01  -3.5927E+00   3.2154E+01   2.6501E+02   6.9499E-04   3.3203E+02   1.1184E+01  -1.1259E+00   1.0015E+02
 9.3693E-02  -3.2409E-02  -1.0319E-01   1.7318E+03   3.1745E+01  -3.8614E+00   3.1979E+01   2.6490E+02   6.8845E-04   3.3401E+02   1.1027E+01  -1.2031E+00   9.9271E+01
 8.8159E-02  -3.1782E-02  -9.7619E-02   1.8176E+03   3.1495E+01  -4.1251E+00   3.1764E+01   2.6478E+02   6.8105E-04   3.3563E+02   1.0845E+01  -1.2759E+00   9.8269E+01
 8.2877E-02  -3.1139E-02  -9.2299E-02   1.9061E+03   3.1206E+01  -4.3822E+00   3.1512E+01   2.6467E+02   6.7284E-04   3.3692E+02   1.0640E+01  -1.3433E+00   9.7153E+01
 7.7841E-02  -3.0481E-02  -8.7219E-02   1.9964E+03   3.0880E+01  -4.6322E+00   3.1225E+01   2.6455E+02   6.6392E-04   3.3790E+02   1.0416E+01  -1.4047E+00   9.5937E+01
 7.3041E-02  -2.9814E-02  -8.2373E-02   2.0868E+03   3.0526E+01  -4.8779E+00   3.0913E+01   2.6444E+02   6.5432E-04   3.3857E+02   1.0177E+01  -1.4601E+00   9.4627E+01
 6.8471E-02  -2.9138E-02  -7.7753E-02   2.1777E+03   3.0141E+01  -5.1257E+00   3.0574E+01   2.6432E+02   6.4385E-04   3.3885E+02   9.9193E+00  -1.5128E+00   9.3195E+01
 6.4123E-02  -2.8454E-02  -7.3352E-02   2.2709E+03   2.9711E+01  -5.3744E+00   3.0193E+01   2.6419E+02   6.3214E-04   3.3853E+02   9.6352E+00  -1.5643E+00   9.1592E+01
 5.9991E-02  -2.7762E-02  -6.9163E-02   2.3671E+03   2.9222E+01  -5.6159E+00   2.9757E+01   2.6407E+02   6.1900E-04   3.3744E+02   9.3182E+00  -1.6109E+00   8.9787E+01
 5.6066E-02  -2.7062E-02  -6.5175E-02   2.4666E+03   2.8669E+01  -5.8433E+00   2.9258E+01   2.6395E+02   6.0428E-04   3.3547E+02   8.9667E+00  -1.6495E+00   8.7764E+01
 5.2339E-02  -2.6356E-02  -6.1382E-02   2.5693E+03   2.8048E+01  -6.0502E+00   2.8693E+01   2.6383E+02   5.8789E-04   3.3253E+02   8.5808E+00  -1.6775E+00   8.5508E+01
 4.8802E-02  -2.5644E-02  -5.7775E-02   2.6747E+03   2.7358E+01  -6.2311E+00   2.8059E+01   2.6371E+02   5.6976E-04   3.2854E+02   8.1620E+00  -1.6926E+00   8.3011E+01
 4.5449E-02  -2.4929E-02  -5.4346E-02   2.7825E+03   2.6601E+01  -6.3809E+00   2.7356E+01   2.6360E+02   5.4980E-04   3.2341E+02   7.7126E+00  -1.6930E+00   8.0265E+01
 4.2274E-02  -2.4213E-02  -5.1091E-02   2.8919E+03   2.5777E+01  -6.4956E+00   2.6583E+01   2.6348E+02   5.2796E-04   3.1707E+02   7.2359E+00  -1.6774E+00   7.7262E+01
 3.9268E-02  -2.3498E-02  -4.8001E-02   3.0023E+03   2.4889E+01  -6.5718E+00   2.5742E+01   2.6337E+02   5.0408E-04   3.0940E+02   6.7347E+00  -1.6447E+00   7.3986E+01
 3.6425E-02  -2.2787E-02  -4.5071E-02   3.1131E+03   2.3939E+01  -6.6064E+00   2.4834E+01   2.6326E+02   4.7787E-04   3.0024E+02   6.2113E+00  -1.5940E+00   7.0407E+01
